City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Osorno,CL,-40.5667,-73.15,55.71,76,90,5.75,overcast clouds
283,Obo,CF,5.3998,26.4869,68.99,96,56,4.03,broken clouds
284,Stara Vyzhivka,UA,51.4376,24.44,33.93,77,75,6.44,broken clouds
285,Berlevag,NO,70.8578,29.0864,30.94,73,38,10.98,scattered clouds
286,Tezu,IN,27.9167,96.1667,77.16,65,56,1.99,broken clouds
287,Lengshuitan,CN,26.4111,111.5956,67.15,50,0,4.76,clear sky
288,Carballo,ES,43.213,-8.691,56.91,94,87,3.87,overcast clouds
289,Abu Dhabi,AE,24.4667,54.3667,77.11,88,0,3.44,clear sky
290,Hualmay,PE,-11.0964,-77.6139,62.62,83,32,9.28,scattered clouds
291,Antalaha,MG,-14.9003,50.2788,74.57,89,87,7.49,light rain
292,Asosa,ET,10.0667,34.5333,62.01,57,90,5.55,overcast clouds
293,Barstow,US,34.8986,-117.0228,72.3,57,97,8.37,overcast clouds
294,Vizinga,RU,61.0749,50.1031,26.67,89,77,6.93,broken clouds
295,Pitimbu,BR,-7.4706,-34.8086,79.39,78,63,9.57,broken clouds
296,West Wendover,US,40.7391,-114.0733,47.41,81,90,3.44,overcast clouds
297,Vao,NC,-22.6667,167.4833,70.9,70,52,10.54,broken clouds
298,Narsaq,GL,60.9167,-46.05,30.42,44,5,6.69,clear sky
299,Roebourne,AU,-20.7833,117.1333,94.33,19,0,9.75,clear sky
300,Lompoc,US,34.6391,-120.4579,62.78,87,90,5.75,overcast clouds
301,Merrill,US,45.1805,-89.6835,46.17,72,40,10.36,scattered clouds
302,Natchitoches,US,31.7668,-93.1335,75.88,78,1,4.61,clear sky
303,Totness,SR,5.8833,-56.3167,77.56,91,100,9.51,overcast clouds
304,Marsa Matruh,EG,31.3525,27.2453,70.0,78,20,4.61,few clouds
305,Along,IN,28.1667,94.7667,74.98,54,2,0.54,clear sky
306,Gidam,IN,18.9833,81.4,75.52,62,12,3.02,few clouds
307,Quang Ngai,VN,15.1167,108.8,77.47,87,96,11.45,overcast clouds
308,Saint-Pierre,RE,-21.3393,55.4781,73.29,76,0,1.14,clear sky
309,Turochak,RU,52.2576,87.1224,47.73,75,97,2.53,overcast clouds
310,Saint George,US,37.1041,-113.5841,66.94,42,1,4.0,clear sky
311,Kautokeino,NO,69.0125,23.0412,21.0,96,100,5.19,snow
312,Poya,NC,-21.35,165.15,79.72,59,1,7.49,clear sky
313,Arraial Do Cabo,BR,-22.9661,-42.0278,70.23,92,100,16.93,overcast clouds
314,Cuiluan,CN,47.72,128.648,52.27,50,17,10.13,few clouds
315,Nicoya,CR,10.1483,-85.452,72.95,93,97,2.73,overcast clouds
316,Viseu,PT,40.661,-7.9097,48.87,75,2,2.48,clear sky
317,Beringovskiy,RU,63.05,179.3167,10.45,80,16,6.55,few clouds
318,Codrington,AU,-38.2667,141.9667,55.74,59,66,11.68,broken clouds
319,Mahon,ES,39.8885,4.2658,61.36,94,0,5.75,clear sky
320,Birao,CF,10.2849,22.7882,73.83,54,100,1.66,overcast clouds
321,Cap Malheureux,MU,-19.9842,57.6142,76.46,67,74,8.01,broken clouds
322,Westport,US,41.1415,-73.3579,60.8,82,90,5.01,overcast clouds
323,Nanortalik,GL,60.1432,-45.2371,32.86,77,96,3.62,light snow
324,Naze,JP,28.3667,129.4833,67.12,86,69,16.87,broken clouds
325,Pimenta Bueno,BR,-11.6725,-61.1936,71.49,98,100,3.89,moderate rain
326,Vagamo,NO,61.8751,9.0967,35.35,98,75,3.04,broken clouds
327,Gornopravdinsk,RU,60.05,69.9,33.67,99,100,4.41,moderate rain
328,Batemans Bay,AU,-35.7167,150.1833,70.99,39,33,9.35,scattered clouds
329,Nhulunbuy,AU,-12.2333,136.7667,92.01,52,40,11.5,scattered clouds
330,Heiligenhafen,DE,54.3667,10.9833,45.84,87,5,13.29,clear sky
331,Valera,VE,9.3178,-70.6036,70.66,94,49,5.28,scattered clouds
332,Stepnyak,KZ,52.8339,70.7803,41.49,52,100,15.08,overcast clouds
333,Grenfell,AU,-33.9,148.1667,64.9,23,0,11.68,clear sky
334,Iskitim,RU,54.6366,83.3045,49.24,70,86,16.44,overcast clouds
335,Asau,RO,46.4333,26.4,37.76,91,27,1.97,scattered clouds
336,Mulege,MX,26.8833,-111.9833,73.06,70,0,0.81,clear sky
337,Vostok,RU,46.4856,135.8833,49.57,44,3,5.12,clear sky
338,Coahuayana,MX,18.7333,-103.6833,78.1,93,100,1.52,overcast clouds
339,Henties Bay,NA,-22.116,14.2845,58.86,92,0,4.27,clear sky
340,Dunedin,NZ,-45.8742,170.5036,59.59,76,86,7.16,light rain
341,Tabuelan,PH,10.8209,123.8689,87.66,75,37,1.83,scattered clouds
342,Saint-Denis,FR,48.9167,2.3333,51.08,83,90,3.44,overcast clouds
343,Kropotkin,RU,45.4375,40.5756,43.14,81,100,3.42,light rain
344,Ozernovskiy,RU,51.5,156.5167,38.98,69,95,16.69,overcast clouds
345,Harrison,US,30.4091,-89.0436,73.45,92,90,0.0,overcast clouds
346,El Cobre,CU,20.0489,-75.9469,78.24,89,20,5.75,few clouds
347,Tete,MZ,-16.1564,33.5867,78.55,65,1,10.92,clear sky
348,Joshimath,IN,30.5667,79.5667,58.75,35,0,1.21,clear sky
