City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Nantucket,US,2021-10-20 22:26:39,41.2835,-70.0995,64.74,82,1,5.75
157,Villazon,BO,2021-10-20 22:26:40,-22.0866,-65.5942,66.56,3,14,28.12
158,Gambela,ET,2021-10-20 22:26:40,8.25,34.5833,77.59,54,100,3.27
159,Khatanga,RU,2021-10-20 22:26:41,71.9667,102.5,22.14,97,100,5.28
160,Kruisfontein,ZA,2021-10-20 22:21:59,-34.0033,24.7314,57.88,76,35,3.67
161,Nhulunbuy,AU,2021-10-20 22:26:42,-12.2333,136.7667,84.81,70,27,10.36
162,Baruun-Urt,MN,2021-10-20 22:26:42,46.6806,113.2792,28.8,74,6,6.4
163,Diu,IN,2021-10-20 22:26:43,20.7141,70.9822,74.77,75,52,9.08
164,Ingham,US,2021-10-20 22:22:25,42.6,-84.3833,69.42,63,1,4.61
165,Mindupok,PH,2021-10-20 22:26:44,6.0906,124.4233,78.58,79,100,4.41
166,Cherskiy,RU,2021-10-20 22:26:44,68.75,161.3,-7.08,100,100,5.19
167,Vikindu,TZ,2021-10-20 22:26:45,-7.0067,39.2985,71.37,91,53,3.6
168,Bijie,CN,2021-10-20 22:26:46,27.3125,105.2942,46.92,93,100,4.41
169,Banda Aceh,ID,2021-10-20 22:25:03,5.5577,95.3222,78.64,77,99,1.03
170,Aksu,CN,2021-10-20 22:26:47,41.1231,80.2644,51.51,28,53,3.11
171,Limulunga,ZM,2021-10-20 22:26:48,-15.0969,23.1376,73.31,60,85,3.69
172,Saint-Pierre,RE,2021-10-20 22:26:49,-21.3393,55.4781,71.28,65,90,4.61
173,Atambua,ID,2021-10-20 22:26:49,-9.1061,124.8925,76.53,81,92,0.65
174,Chuy,UY,2021-10-20 22:26:50,-33.6971,-53.4616,59.2,68,64,9.91
175,Yulara,AU,2021-10-20 22:26:50,-25.2406,130.9889,71.44,43,0,10.36
176,Labuhan,ID,2021-10-20 22:26:51,-6.8844,112.2051,78.67,83,54,6.22
177,Solnechnyy,RU,2021-10-20 22:26:52,50.7214,136.6319,21.33,84,16,3.56
178,Guozhen,CN,2021-10-20 22:26:52,34.3659,107.359,49.15,84,79,1.86
179,Souillac,MU,2021-10-20 22:26:53,-20.5167,57.5167,74.35,78,40,8.05
180,Rio Grande,BR,2021-10-20 22:24:14,-32.035,-52.0986,61.95,66,30,12.66
181,Rocha,UY,2021-10-20 22:23:26,-34.4833,-54.3333,56.7,76,52,9.62
182,Leh,IN,2021-10-20 22:26:54,34.1667,77.5833,41.34,42,0,4.25
183,Egvekinot,RU,2021-10-20 22:26:55,66.3167,-179.1667,21.87,87,100,7.05
184,San Carlos De Bariloche,AR,2021-10-20 22:26:34,-41.1456,-71.3082,60.55,39,75,27.63
185,Harsin,IR,2021-10-20 22:26:56,34.2721,47.5861,50.81,65,0,2.19
186,Aklavik,CA,2021-10-20 22:26:56,68.2191,-135.0107,27.32,80,100,7.07
187,Batagay-Alyta,RU,2021-10-20 22:26:57,67.8006,130.4114,9.18,90,100,3.38
188,Bantry,IE,2021-10-20 22:26:58,51.6833,-9.45,44.08,69,76,12.57
189,Grand Gaube,MU,2021-10-20 22:26:58,-20.0064,57.6608,74.37,75,48,5.99
190,Red Wing,US,2021-10-20 22:26:59,44.5625,-92.5338,60.31,90,90,4.0
191,Qaanaaq,GL,2021-10-20 22:27:00,77.484,-69.3632,17.6,94,78,2.08
192,Balgazyn,RU,2021-10-20 22:27:00,51.0,95.2,31.1,52,0,2.08
193,Arraial Do Cabo,BR,2021-10-20 22:27:01,-22.9661,-42.0278,62.56,100,90,2.3
194,Saint-Philippe,RE,2021-10-20 22:27:02,-21.3585,55.7679,71.19,79,42,10.96
195,Nyurba,RU,2021-10-20 22:27:03,63.2842,118.3319,31.03,96,100,7.74
196,Nikolskoye,RU,2021-10-20 22:27:04,59.7035,30.7861,55.29,89,100,16.96
197,Ihlow,DE,2021-10-20 22:27:05,51.8833,13.3333,65.82,73,100,15.88
198,Ajdabiya,LY,2021-10-20 22:27:06,30.7554,20.2263,70.39,57,39,7.52
199,Boddam,GB,2021-10-20 22:27:06,57.4667,-1.7833,39.58,67,98,27.58
200,Itaueira,BR,2021-10-20 22:27:07,-7.6033,-43.0256,81.99,57,22,4.29
201,Tuatapere,NZ,2021-10-20 22:27:08,-46.1333,167.6833,50.34,58,96,3.42
202,Tuy Hoa,VN,2021-10-20 22:24:54,13.0833,109.3,75.33,93,100,3.98
203,Clyde River,CA,2021-10-20 22:27:09,70.4692,-68.5914,30.43,94,75,12.66
204,Latung,PH,2021-10-20 22:27:09,5.5,120.8833,82.92,75,69,6.58
205,Viedma,AR,2021-10-20 22:27:10,-40.8135,-62.9967,68.83,34,0,18.34
206,Flinders,AU,2021-10-20 22:27:10,-34.5833,150.8552,67.8,89,40,1.01
207,Oromocto,CA,2021-10-20 22:27:11,45.8351,-66.4792,48.34,81,75,5.75
208,Mwinilunga,ZM,2021-10-20 22:27:12,-11.7358,24.4293,66.11,72,96,2.13
209,Ancud,CL,2021-10-20 22:27:12,-41.8697,-73.8203,56.43,92,100,8.88
210,Takaka,NZ,2021-10-20 22:27:13,-40.85,172.8,56.55,65,100,4.59
211,Beringovskiy,RU,2021-10-20 22:27:13,63.05,179.3167,17.4,76,32,5.3
212,Caravelas,BR,2021-10-20 22:27:14,-17.7125,-39.2481,70.75,90,100,15.28
213,New Norfolk,AU,2021-10-20 22:27:15,-42.7826,147.0587,58.71,61,89,1.99
214,Colac,AU,2021-10-20 22:27:15,-38.3333,143.5833,63.18,70,100,6.42
215,Alghero,IT,2021-10-20 22:27:16,40.5589,8.3181,51.89,87,0,3.44
216,Springbok,ZA,2021-10-20 22:27:16,-29.6643,17.8865,63.03,34,49,5.59
217,Port Lincoln,AU,2021-10-20 22:27:17,-34.7333,135.8667,61.23,83,75,12.62
218,Portland,US,2021-10-20 22:25:49,45.5234,-122.6762,63.63,69,75,1.99
219,Hirara,JP,2021-10-20 22:27:18,24.8,125.2833,77.27,88,75,5.75
220,Kaeo,NZ,2021-10-20 22:27:18,-35.1,173.7833,60.33,97,100,9.66
221,Pemagatsel,BT,2021-10-20 22:27:19,27.0319,91.4266,59.5,98,100,1.3
222,Thompson,CA,2021-10-20 22:27:19,55.7435,-97.8558,41.16,33,75,12.66
223,San Lawrenz,MT,2021-10-20 22:27:20,36.0553,14.204,63.86,82,0,5.91
224,Severo-Kurilsk,RU,2021-10-20 22:27:20,50.6789,156.125,35.6,65,83,23.55
225,Nishihara,JP,2021-10-20 22:22:24,26.1842,127.7558,74.48,74,75,6.91
226,Deogarh,IN,2021-10-20 22:27:21,21.5333,84.7333,70.56,84,56,3.8
227,Havoysund,NO,2021-10-20 22:27:22,70.9963,24.6622,29.28,63,100,27.89
228,Hofn,IS,2021-10-20 22:27:22,64.2539,-15.2082,36.63,50,5,6.69
229,Inuvik,CA,2021-10-20 22:27:23,68.3499,-133.7218,27.36,93,75,4.61
230,Palmer,US,2021-10-20 22:27:23,42.1584,-72.3287,68.32,70,44,4.12
231,Lorengau,PG,2021-10-20 22:27:24,-2.0226,147.2712,83.44,72,77,6.49
232,Xalpatlahuac,MX,2021-10-20 22:27:25,17.4667,-98.6167,70.74,73,100,1.25
233,Mpanda,TZ,2021-10-20 22:27:25,-6.3655,31.0409,77.85,46,83,2.62
234,Nuuk,GL,2021-10-20 22:27:26,64.1835,-51.7216,29.01,93,1,9.22
235,Vao,NC,2021-10-20 22:27:27,-22.6667,167.4833,69.69,95,100,11.14
236,Inhambane,MZ,2021-10-20 22:27:27,-23.865,35.3833,66.27,73,0,6.31
237,Vodnyy,RU,2021-10-20 22:27:28,63.5046,53.4095,28.74,95,94,5.14
238,Olinda,BR,2021-10-20 22:27:28,-8.0089,-34.8553,82.13,69,20,8.05
239,Jibuti,DJ,2021-10-20 22:27:29,11.5,42.5,80.02,60,62,6.93
240,Aswan,EG,2021-10-20 22:27:29,24.0934,32.907,76.33,34,0,19.22
241,Maniitsoq,GL,2021-10-20 22:27:30,65.4167,-52.9,32.81,71,10,11.92
242,Cidreira,BR,2021-10-20 22:27:30,-30.1811,-50.2056,63.37,66,94,15.37
243,Saint-Georges,GD,2021-10-20 22:27:31,12.0564,-61.7485,82.08,83,75,16.11
244,Kalmunai,LK,2021-10-20 22:27:32,7.4167,81.8167,79.18,84,100,6.15
245,Ixtapa,MX,2021-10-20 22:27:33,20.7,-105.2,88.83,62,20,10.36
246,Sayyan,YE,2021-10-20 22:27:33,15.1718,44.3244,58.17,35,100,8.32
247,Humboldt,US,2021-10-20 22:23:04,40.6665,-123.9178,56.05,74,100,4.74
248,Sweetwater,US,2021-10-20 22:27:34,25.7634,-80.3731,82.42,65,75,1.99
249,Carnarvon,AU,2021-10-20 22:27:35,-24.8667,113.6333,64.47,72,90,5.75
250,Wasilla,US,2021-10-20 22:24:31,61.5814,-149.4394,44.53,64,90,1.01
251,Lujan,AR,2021-10-20 22:27:36,-34.5703,-59.105,74.01,56,55,1.99
252,Nuevo Progreso,MX,2021-10-20 22:27:36,23.1667,-97.95,90.59,56,7,5.01
253,Praia,CV,2021-10-20 22:27:37,14.9215,-23.5087,81.14,61,0,19.57
254,Raul Soares,BR,2021-10-20 22:27:38,-20.1022,-42.4519,64.13,93,100,4.72
255,Port Hedland,AU,2021-10-20 22:27:38,-20.3167,118.5667,66.25,77,2,8.05
256,Yerbogachen,RU,2021-10-20 22:27:39,61.2767,108.0108,33.87,93,100,9.42
257,Oktyabrskoye,RU,2021-10-20 22:27:40,43.0645,44.7417,37.54,80,71,6.71
258,Vestmannaeyjar,IS,2021-10-20 22:27:41,63.4427,-20.2734,38.61,67,100,19.28
259,Muzhi,RU,2021-10-20 22:27:41,65.3667,64.6667,29.61,85,25,5.03
260,Angatuba,BR,2021-10-20 22:27:42,-23.4897,-48.4128,57.67,84,92,10.74
261,Avera,US,2021-10-20 22:27:42,33.194,-82.5271,78.67,44,72,4.14
262,Luis Correia,BR,2021-10-20 22:27:43,-2.8792,-41.6669,79.99,80,82,8.46
263,Ilo,PE,2021-10-20 22:27:43,-17.6394,-71.3375,62.98,80,100,7.49
264,Georgetown,MY,2021-10-20 22:27:44,5.4112,100.3354,76.95,95,40,4.61
265,Russellville,US,2021-10-20 22:27:45,35.2784,-93.1338,79.99,57,90,5.75
266,Volovo,UA,2021-10-20 22:27:46,48.5246,23.5056,46.54,82,72,6.08
267,Micheweni,TZ,2021-10-20 22:27:46,-4.9667,39.8333,75.38,84,44,7.87
268,Yaan,NG,2021-10-20 22:27:47,7.3833,8.5667,70.52,91,88,2.57
269,Novovasylivka,UA,2021-10-20 22:27:48,46.8315,35.7536,47.43,71,46,9.37
270,Kavieng,PG,2021-10-20 22:27:48,-2.5744,150.7967,81.9,77,93,6.02
271,Lebu,CL,2021-10-20 22:27:49,-37.6167,-73.65,55.17,82,73,7.27
272,Belmonte,BR,2021-10-20 22:27:50,-15.8631,-38.8828,79.3,85,62,6.42
273,Sao Felix Do Xingu,BR,2021-10-20 22:27:50,-6.6447,-51.995,78.53,74,75,1.14
274,Elk River,US,2021-10-20 22:27:51,45.3038,-93.5672,54.82,93,100,4.0
275,Blagoyevo,RU,2021-10-20 22:27:52,63.3667,47.9167,28.54,78,100,7.31
276,Sokol,RU,2021-10-20 22:27:52,59.4617,40.1206,31.57,96,100,17.09
277,Bambous Virieux,MU,2021-10-20 22:27:53,-20.3428,57.7575,74.21,78,40,8.05
278,Alofi,NU,2021-10-20 22:27:54,-19.0595,-169.9187,80.49,61,61,17.27
279,Maragogi,BR,2021-10-20 22:27:54,-9.0122,-35.2225,77.61,85,8,9.71
280,Necochea,AR,2021-10-20 22:27:55,-38.5473,-58.7368,66.04,76,1,8.23
281,Alice Springs,AU,2021-10-20 22:27:56,-23.7,133.8833,74.75,41,0,11.5
282,Amapa,BR,2021-10-20 22:27:56,1.0,-52.0,82.51,58,52,6.17
283,Kirakira,SB,2021-10-20 22:27:57,-10.4544,161.9205,83.53,74,94,9.06
284,Mtwara,TZ,2021-10-20 22:22:58,-10.2667,40.1833,73.04,89,23,6.11
285,San Patricio,US,2021-10-20 22:27:58,28.017,-97.5169,88.52,51,22,8.48
286,Banff,CA,2021-10-20 22:27:59,51.1762,-115.5698,47.73,36,78,6.35
287,Puerto Carreno,CO,2021-10-20 22:28:00,6.189,-67.4859,81.54,75,100,9.51
288,Santo Antonio Do Sudoeste,BR,2021-10-20 22:28:00,-26.0736,-53.7253,62.85,72,14,3.11
289,Talakan,RU,2021-10-20 22:28:01,50.3167,130.3667,22.66,95,33,1.3
290,Cervo,ES,2021-10-20 22:28:01,43.6702,-7.4101,59.97,72,97,14.85
291,Canavieiras,BR,2021-10-20 22:28:02,-15.675,-38.9472,76.68,85,61,4.65
292,Balfour,ZA,2021-10-20 22:28:03,-26.6633,28.5902,54.03,42,74,4.12
293,Sechura,PE,2021-10-20 22:28:03,-5.5569,-80.8222,73.65,65,31,15.43
294,Husavik,IS,2021-10-20 22:28:04,66.0449,-17.3389,22.91,75,63,13.29
